candidate_id,title,score,explanation
CAND_0007009,Recommendation Systems Engineer,79.58,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0023215,Junior ML Engineer,79.44,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0028793,Search Engineer,79.31,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0017960,Recommendation Systems Engineer,79.28,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0041669,Recommendation Systems Engineer,79.25,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0075249,Applied ML Engineer,79.18,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0005649,Senior Data Scientist,79.05,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0053591,AI Engineer,78.94,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0075481,AI Research Engineer,78.6,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0083307,Search Engineer,78.54,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0054394,Recommendation Systems Engineer,78.38,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0037566,Machine Learning Engineer,78.32,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0009691,Applied ML Engineer,78.0,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0052335,Applied ML Engineer,77.86,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0018722,Recommendation Systems Engineer,77.76,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0029367,Senior Data Scientist,77.69,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0014440,Recommendation Systems Engineer,77.52,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0045141,Data Scientist,77.22,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0026942,Junior ML Engineer,77.07,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0088025,Staff Machine Learning Engineer,77.05,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0035879,AI Research Engineer,77.04,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0008425,Senior NLP Engineer,77.03,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0039383,Applied ML Engineer,76.76,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0069905,Applied ML Engineer,76.69,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0076163,NLP Engineer,76.6,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0061265,Recommendation Systems Engineer,76.44,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0018549,Recommendation Systems Engineer,75.97,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0091890,AI Research Engineer,75.96,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0017093,ML Engineer,75.96,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0061257,Staff Machine Learning Engineer,75.88,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0043860,Junior ML Engineer,75.86,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0033179,AI Research Engineer,75.83,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0038206,Data Scientist,75.82,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0078492,Recommendation Systems Engineer,75.78,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0050553,ML Engineer,75.77,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0050454,AI Engineer,75.77,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0024990,Junior ML Engineer,75.69,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0058688,AI Engineer,75.68,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0015493,Data Scientist,75.64,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0097176,ML Engineer,75.62,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0049538,Applied ML Engineer,75.58,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0002120,ML Engineer,75.57,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0077285,Recommendation Systems Engineer,75.48,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0009024,Search Engineer,75.42,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0000031,Recommendation Systems Engineer,75.31,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0086151,Recommendation Systems Engineer,75.29,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0024147,ML Engineer,75.27,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0005311,AI Research Engineer,75.26,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0051004,Senior Data Scientist,75.24,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0092706,AI Research Engineer,75.2,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0010603,ML Engineer,75.16,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0060814,Data Scientist,75.14,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0010770,Recommendation Systems Engineer,75.11,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0007412,Applied ML Engineer,75.08,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0072660,Machine Learning Engineer,75.07,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0043381,AI Research Engineer,75.0,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0013536,Applied ML Engineer,74.99,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0091580,Data Scientist,74.86,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
CAND_0092255,ML Engineer,74.84,"Strong semantic alignment with the job description | Direct experience in AI, ML, Retrieval, Search or Ranking systems | Demonstrated production-scale machine learning experience"
